dataset,method,gs_f1,r_precision,r_recall,replicate_consistency,sem,t_rec_precision,t_rec_recall,tfb_f1,vc,ws_precision,ws_recall
300BCG,geneformer,0.5703331921113036,0.24844448706610933,0.21807312979223106,0.468418962242293,,,,0.1277691497075241,0.11019100621342659,,
300BCG,grnboost,0.5565575213625137,0.6082495600990443,0.3752381746276838,0.5398086254890125,,,,0.11285845147385659,0.1575806960463524,,
300BCG,negative_control,0.03404321865591584,0.18009113642084532,0.19419282235831506,0.11953065578792121,,,,-0.00018421799377493916,0.043769413605332375,,
300BCG,pearson_corr,0.46933925654716196,0.6154285037104308,0.2742157945197332,0.41520667754886764,,,,0.11021173787161308,0.1881796084344387,,
300BCG,portia,0.6187717604213355,0.39704830299807364,0.2668004637139772,0.5399448096504001,,,,0.10140954125781519,0.11688028462231159,,
300BCG,positive_control,0.47132965167290863,0.6211241220596152,0.2780678084374531,0.42120109136653017,,,,0.10369810999395357,0.18232648447155952,,
300BCG,ppcor,0.09822172288685645,0.17423893557956358,0.19204417099482093,0.32556023470369994,,,,0.0,0.06595838069915771,,
300BCG,scenic,0.4812894189462198,0.380182991805681,0.2747188812129653,0.5015140684431258,,,,0.11802174783734524,0.06718172691762447,,
300BCG,scgpt,0.7183018886553735,0.25610064551289774,0.23383422464254355,0.30683456263422737,,,,0.038300480691909354,0.07741069421172142,,
300BCG,scprint,0.681343333363416,0.15582997391679954,0.18910161181913127,0.35168173240907324,,,,0.0,0.0800422802567482,,
MSCIC,celloracle,0.5194065130985177,0.015133213020372373,0.008811497528708006,0.3677965306023069,,,,,,,
MSCIC,figr,0.20716451505789446,0.007019499151516083,0.00471795317305248,0.4516474144761111,,,,,,,
MSCIC,geneformer,0.4328387839201204,0.007724345371732278,0.005789376217489999,0.5635598787915342,,,,,,,
MSCIC,granie,0.1492860289694871,0.0015135566545252748,0.0013352775123831615,0.327892905075669,,,,,,,
MSCIC,grnboost,0.5450625781514097,0.037096054723910206,0.021177438401896367,0.4507449099800045,,,,,,,
MSCIC,negative_control,0.012458220791554125,0.0006736868801291282,0.0008989118627840324,0.061127195149915346,,,,,,,
MSCIC,pearson_corr,0.4741399201469429,0.028138438081294452,0.014683873183625672,0.3656999692234192,,,,,,,
MSCIC,portia,0.4314618750267311,0.02879236090808062,0.015557713959825999,0.5115274058330355,,,,,,,
MSCIC,positive_control,0.5138542908665312,0.029178008325091945,0.015292537147355532,0.36710353399603074,,,,,,,
MSCIC,ppcor,0.11923344574484046,0.00822859983897714,0.004246831157547034,0.31044277893812594,,,,,,,
MSCIC,scenic,0.45012508858619543,0.013420908315637164,0.00699575050374976,0.510687592508305,,,,,,,
MSCIC,scenicplus,0.48479441012790336,0.020722821418656723,0.013456143747600013,0.42222204261359997,,,,,,,
MSCIC,scglue,0.21132984782278905,0.006832688850315442,0.0029550190776735166,0.176568557739817,,,,,,,
MSCIC,scgpt,0.3759752780756333,0.0005112829879245231,0.0015661885486165205,0.010373916396647753,,,,,,,
MSCIC,scprint,0.1413245873167485,0.001564572672042308,0.0015563514944894226,0.27338125804909064,,,,,,,
nakatake,geneformer,0.616842871488682,0.08117094559996375,0.038803431659190604,,,,,,0.00011350063141435385,,
nakatake,grnboost,0.5233318503691026,0.21456276694500465,0.11533090765594704,,,,,,0.00014148569971439429,,
nakatake,negative_control,0.019076387269394975,0.03235414969650873,0.028468000785414834,,,,,,9.913098983815871e-05,,
nakatake,pearson_corr,0.34273826282770425,0.22209903116132287,0.08277916882409163,,,,,,6.637030855927151e-05,,
nakatake,portia,0.06220428588187432,0.03391640816134023,0.031713773775676656,,,,,,0.00014920714602340013,,
nakatake,positive_control,0.3718787410817522,0.2658495042931186,0.10471509157514314,,,,,,0.00011344045560690574,,
nakatake,ppcor,0.03361279557312243,0.024998939319509927,0.026243474448306388,,,,,,9.622806101106107e-05,,
nakatake,scenic,0.566748930262562,0.12929948070281805,0.0669289621075735,,,,,,8.088772665360011e-05,,
nakatake,scgpt,0.6868463637420718,0.03138802947395063,0.040183445622430015,,,,,,0.000170309744135011,,
nakatake,scprint,0.4557738482610598,0.07958761792781521,0.03306510503172455,,,,,,0.00012345043069217354,,
norman,geneformer,0.05575214280097507,0.10692887044155124,0.0666392336803466,,,4.032092151017121,4.1564591547300695,0.04191061457617015,0.00019312171207275242,0.6349411123227917,0.6237161405865234
norman,grnboost,0.03750565123955683,0.22897588106361932,0.10406060599853166,,,4.429717592130383,4.454010563986026,0.05022709730181838,0.0002748323749983683,0.7832235550708834,0.6628365793597493
norman,negative_control,0.0,0.06859870869897194,0.05432551368178747,,,1.3957922134735534,0.37921340748871,0.005763752579866373,0.00011934137728530914,0.5013184296619411,0.4981752854264607
norman,pearson_corr,0.0303030303030303,0.18758414803341333,0.0812206728768066,,,5.615644363517291,5.6153640959701,0.03968931144141046,0.00019008323215530254,0.7393936750272628,0.6158052384150436
norman,portia,0.05677445731485877,0.1068825017760489,0.07909599908142377,,,3.936008545926462,3.9194142878320295,0.020724593843867312,0.00018735011508397292,0.47959760087241005,0.494850458920976
norman,positive_control,0.017696598176050234,0.1472139058980923,0.06826781031021259,,,3.6285612912722045,2.796363620824459,0.05356591588350616,0.00014237001596484333,0.7624721919302072,0.6174387732258787
norman,ppcor,0.03174603174603175,0.13107833802427876,0.07545677613136152,,,4.184448450904651,4.247171294545007,0.01842913331852898,0.0003153531579300761,0.5226226826608507,0.5262028206850236
norman,scenic,0.03947258707181204,0.10191554120375453,0.06089156639172502,,,2.2120647213197895,2.167085231566178,0.06880900151903595,0.00020452641911106184,0.5227557251908397,0.5076715916722632
norman,scgpt,0.05797101449275363,0.12832356112032875,0.06577263479119683,,,1.7856843539073766,1.4889505103283502,0.02958111945275791,0.00010969685899908654,0.5825703380588877,0.6000653682561004
norman,scprint,0.11411617239845308,0.1335528339736227,0.06707704734484998,,,3.57639257296582,3.1561708534374193,0.052882622997271894,0.00019964177772635594,0.6643478735005452,0.6052057309156034
op,celloracle,0.5360599233318507,0.3886521189293531,0.2595731563413993,0.5133255520702433,0.0500940708494793,,,0.10935966059924489,0.6433889269828796,,
op,figr,0.20023827683696105,0.3722840078177405,0.2717362690892515,0.3973502915649081,0.03417650381191667,,,0.04222487458884375,0.5662499368190765,,
op,geneformer,0.42151883496961323,0.3115266770518208,0.2495105995219768,0.6043631360008563,0.0317329767653302,,,0.07306507266183411,0.5390567779541016,,
op,granie,0.17256578729160968,0.17208177978149358,0.19206345167214312,0.2310885697600739,0.010394222461913735,,,0.025531208640971075,0.48720601201057434,,
op,grnboost,0.6016156531091249,0.5491770850757267,0.3070790854986443,0.6506283836572473,0.08107153065553899,,,0.10710837199065193,0.6827670335769653,,
op,negative_control,0.0030303030303030307,0.24579259171993928,0.22622725557589435,0.23567532927916987,0.004445673326841342,,,0.0,0.5035481005907059,,
